date,pathogen,group,amount
2024-05-05,Coronavirus 229E,Coronavirussen,1
2024-05-12,Coronavirus 229E,Coronavirussen,2
2024-05-19,Coronavirus 229E,Coronavirussen,2
2024-05-26,Coronavirus 229E,Coronavirussen,3
2024-06-02,Coronavirus 229E,Coronavirussen,1
2024-06-09,Coronavirus 229E,Coronavirussen,0
2024-06-16,Coronavirus 229E,Coronavirussen,0
2024-06-23,Coronavirus 229E,Coronavirussen,0
2024-06-30,Coronavirus 229E,Coronavirussen,0
2024-07-07,Coronavirus 229E,Coronavirussen,0
2024-07-14,Coronavirus 229E,Coronavirussen,0
2024-07-21,Coronavirus 229E,Coronavirussen,0
2024-07-28,Coronavirus 229E,Coronavirussen,0
2024-08-04,Coronavirus 229E,Coronavirussen,0
2024-08-11,Coronavirus 229E,Coronavirussen,0
2024-08-18,Coronavirus 229E,Coronavirussen,0
2024-08-25,Coronavirus 229E,Coronavirussen,0
2024-09-01,Coronavirus 229E,Coronavirussen,0
2024-09-08,Coronavirus 229E,Coronavirussen,0
2024-09-15,Coronavirus 229E,Coronavirussen,0
2024-09-22,Coronavirus 229E,Coronavirussen,0
2024-09-29,Coronavirus 229E,Coronavirussen,0
2024-10-06,Coronavirus 229E,Coronavirussen,0
2024-10-13,Coronavirus 229E,Coronavirussen,0
2024-10-20,Coronavirus 229E,Coronavirussen,0
2024-10-27,Coronavirus 229E,Coronavirussen,0
2024-11-03,Coronavirus 229E,Coronavirussen,0
2024-11-10,Coronavirus 229E,Coronavirussen,0
2024-11-17,Coronavirus 229E,Coronavirussen,0
2024-11-24,Coronavirus 229E,Coronavirussen,0
2024-12-01,Coronavirus 229E,Coronavirussen,0
2024-12-08,Coronavirus 229E,Coronavirussen,0
2024-12-15,Coronavirus 229E,Coronavirussen,0
2024-12-22,Coronavirus 229E,Coronavirussen,0
2024-12-29,Coronavirus 229E,Coronavirussen,0
2025-01-05,Coronavirus 229E,Coronavirussen,0
2025-01-12,Coronavirus 229E,Coronavirussen,0
2025-01-19,Coronavirus 229E,Coronavirussen,0
2025-01-26,Coronavirus 229E,Coronavirussen,0
2025-02-02,Coronavirus 229E,Coronavirussen,0
2025-02-09,Coronavirus 229E,Coronavirussen,0
2025-02-16,Coronavirus 229E,Coronavirussen,0
2025-02-23,Coronavirus 229E,Coronavirussen,0
2025-03-02,Coronavirus 229E,Coronavirussen,0
2025-03-09,Coronavirus 229E,Coronavirussen,0
2025-03-16,Coronavirus 229E,Coronavirussen,0
2025-03-23,Coronavirus 229E,Coronavirussen,0
2025-03-30,Coronavirus 229E,Coronavirussen,0
2025-04-06,Coronavirus 229E,Coronavirussen,0
2025-04-13,Coronavirus 229E,Coronavirussen,0
2025-04-20,Coronavirus 229E,Coronavirussen,0
2025-04-27,Coronavirus 229E,Coronavirussen,1
2025-05-04,Coronavirus 229E,Coronavirussen,1
2025-05-11,Coronavirus 229E,Coronavirussen,1
2025-05-18,Coronavirus 229E,Coronavirussen,0
2025-05-25,Coronavirus 229E,Coronavirussen,0
2025-06-01,Coronavirus 229E,Coronavirussen,1
2025-06-08,Coronavirus 229E,Coronavirussen,0
2025-06-15,Coronavirus 229E,Coronavirussen,1
2025-06-22,Coronavirus 229E,Coronavirussen,0
2025-06-29,Coronavirus 229E,Coronavirussen,2
2025-07-06,Coronavirus 229E,Coronavirussen,0
2025-07-13,Coronavirus 229E,Coronavirussen,0
2025-07-20,Coronavirus 229E,Coronavirussen,0
2025-07-27,Coronavirus 229E,Coronavirussen,0
2025-08-03,Coronavirus 229E,Coronavirussen,0
2025-08-10,Coronavirus 229E,Coronavirussen,0
2025-08-17,Coronavirus 229E,Coronavirussen,1
2025-08-24,Coronavirus 229E,Coronavirussen,0
2025-08-31,Coronavirus 229E,Coronavirussen,0
2025-09-07,Coronavirus 229E,Coronavirussen,1
2025-09-14,Coronavirus 229E,Coronavirussen,0
2025-09-21,Coronavirus 229E,Coronavirussen,0
2025-09-28,Coronavirus 229E,Coronavirussen,0
2022-10-02,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2022-10-09,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2022-10-16,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2022-10-23,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2022-10-30,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2022-11-06,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2022-11-13,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2022-11-20,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2022-11-27,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2022-12-04,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2022-12-11,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2022-12-18,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2022-12-25,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2023-01-01,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2023-01-08,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2023-01-15,Mycoplasma pneumoniae,Mycoplasma pneumoniae,1
2023-01-22,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2023-01-29,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2023-02-05,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2023-02-12,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2023-02-19,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2023-02-26,Mycoplasma pneumoniae,Mycoplasma pneumoniae,1
2023-03-05,Mycoplasma pneumoniae,Mycoplasma pneumoniae,1
2023-03-12,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2023-03-19,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2023-03-26,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2023-04-02,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2023-04-09,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2023-04-16,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2023-04-23,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2023-04-30,Mycoplasma pneumoniae,Mycoplasma pneumoniae,1
2023-05-07,Mycoplasma pneumoniae,Mycoplasma pneumoniae,1
2023-05-14,Mycoplasma pneumoniae,Mycoplasma pneumoniae,1
2023-05-21,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2023-05-28,Mycoplasma pneumoniae,Mycoplasma pneumoniae,1
2023-06-04,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2023-06-11,Mycoplasma pneumoniae,Mycoplasma pneumoniae,2
2023-06-18,Mycoplasma pneumoniae,Mycoplasma pneumoniae,1
2023-06-25,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2023-07-02,Mycoplasma pneumoniae,Mycoplasma pneumoniae,1
2023-07-09,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2023-07-16,Mycoplasma pneumoniae,Mycoplasma pneumoniae,2
2023-07-23,Mycoplasma pneumoniae,Mycoplasma pneumoniae,2
2023-07-30,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2023-08-06,Mycoplasma pneumoniae,Mycoplasma pneumoniae,1
2023-08-13,Mycoplasma pneumoniae,Mycoplasma pneumoniae,1
2023-08-20,Mycoplasma pneumoniae,Mycoplasma pneumoniae,3
2023-08-27,Mycoplasma pneumoniae,Mycoplasma pneumoniae,2
2023-09-03,Mycoplasma pneumoniae,Mycoplasma pneumoniae,3
2023-09-10,Mycoplasma pneumoniae,Mycoplasma pneumoniae,5
2023-09-17,Mycoplasma pneumoniae,Mycoplasma pneumoniae,5
2023-09-24,Mycoplasma pneumoniae,Mycoplasma pneumoniae,4
2023-10-01,Mycoplasma pneumoniae,Mycoplasma pneumoniae,3
2023-10-08,Mycoplasma pneumoniae,Mycoplasma pneumoniae,6
2023-10-15,Mycoplasma pneumoniae,Mycoplasma pneumoniae,1
2023-10-22,Mycoplasma pneumoniae,Mycoplasma pneumoniae,6
2023-10-29,Mycoplasma pneumoniae,Mycoplasma pneumoniae,6
2023-11-05,Mycoplasma pneumoniae,Mycoplasma pneumoniae,12
2023-11-12,Mycoplasma pneumoniae,Mycoplasma pneumoniae,12
2023-11-19,Mycoplasma pneumoniae,Mycoplasma pneumoniae,13
2023-11-26,Mycoplasma pneumoniae,Mycoplasma pneumoniae,17
2023-12-03,Mycoplasma pneumoniae,Mycoplasma pneumoniae,16
2023-12-10,Mycoplasma pneumoniae,Mycoplasma pneumoniae,20
2023-12-17,Mycoplasma pneumoniae,Mycoplasma pneumoniae,17
2023-12-24,Mycoplasma pneumoniae,Mycoplasma pneumoniae,7
2023-12-31,Mycoplasma pneumoniae,Mycoplasma pneumoniae,11
